doc_id,article_id,title,year,doi,source_database,genus_raw,genus_for_stm,n_genera_mentioned,mentioned_genera
11,11,"The Mitochondrial Genome of Melipona fasciculata (Apidae, Meliponini): Genome Organization and Comparative Analyses, Phylogenetic Implications and Divergence Time Estimations",2025,10.1007/s10528-024-10991-3,Scopus,Melipona,Melipona,1,Melipona
12,12,"Insights into the Melipona scutellaris (Hymenoptera, Apidae, Meliponini) fat body transcriptome",2013,10.1590/s1415-47572013000200022,Scopus,Melipona,Melipona,1,Melipona
13,13,Comparative cytogenetics in three Melipona species (Hymenoptera: Apidae) with two divergent heterochromatic patterns,2018,10.1590/1678-4685-gmb-2017-0330,Scopus,Melipona,Melipona,1,Melipona
14,14,Barcoding stingless bees: Genetic diversity of the economically important genus Scaptotrigona in Mesoamerica,2013,10.1007/s13592-012-0146-9,Scopus,Scaptotrigona,Scaptotrigona,1,Scaptotrigona
15,15,"Exploring genetic and morphometric variations in Partamona ailyae, a widely distributed neotropical stingless bee of South America",2025,10.1007/s10841-025-00687-3,Scopus,Partamona,Partamona,1,Partamona
16,16,Unveiling the Genetic Structure and Ecological Niche Diversification of the Stingless Bee Tetragonisca angustula (Meliponini) in Peruvian Amazon,2025,10.1111/jbi.70107,Scopus,Tetragonisca,Tetragonisca,1,Tetragonisca
17,17,Population structure of the stingless bee (Tetragonula pagdeni Schwarz) in Thailand determined by cytochrome b and ATPase6–tRNAASP sequence analysis,2014,,Scopus,Tetragonula,Tetragonula,1,Tetragonula
18,18,Loss and gain of gut bacterial phylotype symbionts in afrotropical stingless bee species (Apidae: Meliponinae),2021,10.3390/microorganisms9122420,Scopus,Multiple,Multiple,4,Dactylurina; Hypotrigona; Liotrigona; Meliponula
19,19,First detection of honey bee viruses in stingless bees in North America,2015,10.1080/00218839.2015.1100154,Scopus,Scaptotrigona,Scaptotrigona,1,Scaptotrigona
20,20,Biochemical genetic differentiation in the Trigona atripes species group of Malaysian stingless bees (insecta: hymenoptera: apidae),1991,10.1016/0305-0491(91)90345-e,Scopus,Trigona,Trigona,1,Trigona
21,21,Genetic variability of melipona subnitida (hymenoptera: Apidae) in introduced and native populations,2018,10.1093/jisesa/iey089,Scopus,Melipona,Melipona,1,Melipona
22,22,"Exploring integument transcriptomes, cuticle ultrastructure, and cuticular hydrocarbons profiles in eusocial and solitary bee species displaying heterochronic adult cuticle maturation",2019,10.1371/journal.pone.0213796,Scopus,Frieseomelitta,Frieseomelitta,1,Frieseomelitta
23,23,"The nuclear and mitochondrial genome assemblies of Tetragonisca angustula (Apidae: Meliponini), a tiny yet remarkable pollinator in the Neotropics",2024,10.1186/s12864-024-10502-z,Scopus,Tetragonisca,Tetragonisca,1,Tetragonisca
24,24,Relatedness and dispersal distance of eusocial bee males on mating swarms,2016,10.1111/ens.12195,Scopus,Tetragonisca,Tetragonisca,1,Tetragonisca
25,25,Intraspecific variation in the stingless bee Melipona beecheii assessed with PCR-RFLP of the ITS1 ribosomal DNA,2009,10.1051/apido/2009036,Scopus,Melipona,Melipona,1,Melipona
26,26,Intraspecific queen parasitism in a highly eusocial bee,2011,10.1098/rsbl.2010.0819,Scopus,Melipona,Melipona,1,Melipona
27,27,Identification of stingless bees (Hymenoptera: Apidae) in Kenya using morphometrics and DNA barcoding; [Identificación de las abejas sin aguijón (Hymenoptera: Apidae) en Kenia usando morfometría y ADN barcoding (código de barras molecular)],2017,10.1080/00218839.2017.1327939,Scopus,Multiple,Multiple,3,Dactylurina; Meliponula; Plebeina
28,28,"Chromosome Evolution in the Genus Partamona (Apidae: Meliponini), with Comments on B Chromosome Origin",2022,10.1159/000520552,Scopus,Partamona,Partamona,1,Partamona
29,29,Mitochondrial polymorphism in tetragonisca angustula and tetragonisca weyrauchi (Apidae) in northern Brazil,2020,10.4238/gmr18495,Scopus,Tetragonisca,Tetragonisca,1,Tetragonisca
30,30,"Genome size estimation of three stingless bee species (Hymenoptera, Meliponinae) by flow cytometry",2009,10.1051/apido/2009030,Scopus,Multiple,Multiple,2,Melipona; Scaptotrigona
31,31,Karyotype description of cephalotrigona femorata Smith (Hymenoptera: Apidae) and the C-banding pattern as a specific marker for Cephalotrigona,2013,10.13102/sociobiology.v60i1.125-127,Scopus,Cephalotrigona,Other_rare_genera,1,Cephalotrigona
32,32,An intraspecific origin of B chromosomes in Tetragonisca fiebrigi (Apidae: Meliponini) inferred from cytogenetic and nuclear genome size data,2026,10.1038/s41598-026-39709-8,Scopus,Tetragonisca,Tetragonisca,1,Tetragonisca
33,33,"Does beekeeping reduce genetic variability in Melipona scutellaris (Apidae, Meliponini)?",2009,10.4238/vol8-2kerr006,Scopus,Melipona,Melipona,1,Melipona
34,34,"Genetic analysis of Melipona quadrifasciata LEP. (Hymenoptera: Apidae, Meliponinae) with RAPD markers",2002,10.1590/s1519-69842002000500022,Scopus,Melipona,Melipona,1,Melipona
35,35,Quantification of bioactive components and evaluation of microbial community and antibacterial activity from Heterotrigona itama and Tetrigona binghami honeys,2023,10.1111/ijfs.16325,Scopus,Heterotrigona,Heterotrigona,1,Heterotrigona
36,36,Evaluation of reference genes for gene expression analysis by real-time quantitative PCR (qPCR) in three stingless bee species (Hymenoptera: Apidae: Meliponini),2019,10.1038/s41598-019-53544-0,Scopus,Multiple,Multiple,3,Frieseomelitta; Melipona; Scaptotrigona
37,37,"Comparative study on the physical mapping of ribosomal genes and repetitive sequences in Friesella schrottkyi (Friese 1900) (Hymenoptera: Apidae, Meliponini)",2021,10.1016/j.jcz.2021.04.006,Scopus,Friesella,Other_rare_genera,1,Friesella
38,38,Isoenzymes and cytochemical analysis in Tetragonisca angustula and Tetragonisca fiebrigi after herbicide contamination,2011,,Scopus,Tetragonisca,Tetragonisca,1,Tetragonisca
39,39,"Genome size diversity in stingless bees (Hymenoptera: Apidae, Meliponini)",2012,10.1007/s13592-012-0145-x,Scopus,Multiple,Multiple,2,Melipona; Paratrigona
40,40,"The complete mitochondrial genome of Trigonisca nataliae (Hymenoptera, Apidae) assemblage reveals heteroplasmy in the control region",2023,10.1016/j.gene.2023.147621,Scopus,Multiple,Multiple,2,Melipona; Trigonisca
41,41,Glycerol-3-phosphate dehydrogenase (G-3-PDH; EC 1.1.1.8) variation in Brazilian stingless bees and in wasp species,1991,10.1007/bf00590105,Scopus,Tetragona,Other_rare_genera,1,Tetragona
42,42,Genetic and phenotypic differentiation in endemic Scaptotrigona hellwegeri (Apidae: Meliponini): Implications for the conservation of stingless bee populations in contrasting environments,2012,10.1111/j.1752-4598.2011.00179.x,Scopus,Scaptotrigona,Scaptotrigona,1,Scaptotrigona
43,43,Sequence and expression pattern of the germ line marker vasa in honey bees and stingless bees,2009,10.1590/s1415-47572009005000043,Scopus,Melipona,Melipona,1,Melipona
44,44,Evidence of hybridization between two species of Melipona bees,2000,10.1590/s1415-47572000000100014,Scopus,Melipona,Melipona,1,Melipona
45,45,Genetic differentiation of the stingless bee tetragonula pagdeni in Thailand using SSCP analysis of a large subunit of mitochondrial ribosomal DNA,2011,10.1007/s10528-011-9425-9,Scopus,Tetragonula,Tetragonula,1,Tetragonula
46,46,Mitochondrial DNA restriction and genomic maps of seven species of Melipona (Apidae: Meliponini),2004,10.1051/apido:2004027,Scopus,Multiple,Multiple,2,Melipona; Scaptotrigona
47,47,Reproductive potential shapes the expression of nurse-to-forager transition genes in the workers of stingless bees (Meliponini),2023,10.1007/s13592-023-01021-z,Scopus,Multiple,Multiple,2,Frieseomelitta; Melipona
48,48,"The composition of bacteria in gut and beebread of stingless bees (Apidae: Meliponini) from tropics Yunnan, China",2021,10.1007/s10482-021-01602-x,Scopus,Multiple,Multiple,2,Lepidotrigona; Tetragonula
49,49,"Genetic diversity of Melipona mandacaia, Smith 1863 in natural and rational breeding populations",2024,10.18520/cs/v126/i12/1479-1484,Scopus,Melipona,Melipona,1,Melipona
50,50,Longitudinal survey reveals delayed effects of low gene expression on stingless bee colony health,2022,10.1080/00218839.2021.1962123,Scopus,Melipona,Melipona,1,Melipona
51,51,Conserved but mechanistically diverse piRNA defence against endogenous retroviruses in insects,2026,10.1038/s44319-026-00741-4,Scopus,Tetragonula,Tetragonula,1,Tetragonula
52,52,Multi-Omic Analysis Reveals Population Differentiation and Signatures of Social Evolution in Tetragonula Stingless Bees,2025,10.1111/mec.17823,Scopus,Tetragonula,Tetragonula,1,Tetragonula
53,53,Fragmentation in the clouds? The population genetics of the native bee Partamona bilineata (Hymenoptera: Apidae: Meliponini) in the cloud forests of Guatemala,2017,10.1007/s10592-017-0950-x,Scopus,Partamona,Partamona,1,Partamona
54,54,DNA barcoding reveals long-term speciation processes in subspecies of the Melipona (Michmelia) seminigra complex (Hymenoptera: Apidae),2022,10.14411/eje.2022.032,Scopus,Melipona,Melipona,1,Melipona
